horse_id,sire,dam_sire
2021103268,ダノンレジェンド,スペシャルウィーク
2021101219,ミッキーアイル,トワイニング
2019100620,キズナ,Perfect Soul
2021103480,スクリーンヒーロー,マツリダゴッホ
2023110007,カラヴァッジオ,アグネスゴールド
2023106141,サンダースノー,ストリートセンス
2023106359,タワーオブロンドン,Street Cry
2023103693,ニューイヤーズデイ,ハーツクライ
2023102459,レイデオロ,シニスターミニスター
2023103065,ダノンプレミアム,American Pharoah
2023105448,ガルボ,サウスヴィグラス
2023103809,ルヴァンスレーヴ,ワイルドラッシュ
2023103000,ルヴァンスレーヴ,ジャスタウェイ
2023104689,ミッキーアイル,Dawn Approach
2023103671,タワーオブロンドン,スウェプトオーヴァーボード
2023100150,マテラスカイ,フリオーソ
2022106851,ルヴァンスレーヴ,キングカメハメハ
2022102263,ゴールドアクター,Shirocco
2022101217,ホークビル,キングカメハメハ
2022103348,モズアスコット,スペシャルウィーク
2022105305,ドレフォン,サウスヴィグラス
2022102631,ディスクリートキャット,ディープスカイ
2022105574,サトノダイヤモンド,シンボリクリスエス
2022103575,エピファネイア,ブラックタイド
2022105826,ハービンジャー,ダイワメジャー
2022100094,エピファネイア,キングカメハメハ
2022105800,ドレフォン,ゼンノロブロイ
2022106608,シャンハイボビー,ディープインパクト
2022104676,モーリス,ロードカナロア
2022100178,サトノダイヤモンド,ハービンジャー
2022103233,ロードカナロア,ヴィクトワールピサ
2022103816,サートゥルナーリア,マンハッタンカフェ
2022101495,ウインブライト,アグネスタキオン
2022110076,Kingman,Mastercraftsman
2022100325,シルポート,タニノギムレット
2022102733,ハービンジャー,クロフネ
2022106886,アドマイヤマーズ,チチカステナンゴ
2022103586,ラブリーデイ,スペシャルウィーク
2022110002,Frankel,Cape Cross
2022105464,サトノクラウン,ノヴェリスト
2022105114,レイデオロ,ディープインパクト
2022109028,シニスターミニスター,ハーツクライ
2022105328,ハービンジャー,ステイゴールド
2022104374,デクラレーションオブウォー,ファルブラヴ
2022104008,ダイシンサンダー,ワークフォース
2022101681,ハービンジャー,キングズベストKing'
2022102929,マジェスティックウォリアー,フジキセキ
2022105688,ダイワメジャー,Danehill Dancer
2022102713,フォーウィールドライブ,キャプテンスティーヴ
2022107233,エポカドーロ,オウケンブルースリ
2022104305,ルヴァンスレーヴ,キズナ
2022100368,American Pharoah,Giant's Causeway
2022102756,ディープブリランテ,フジキセキ
2022102860,エピファネイア,ハーツクライ
2022103068,ルヴァンスレーヴ,ディープインパクト
2022104297,シャンハイボビー,ディープインパクト
2022106938,バゴ,アグネスデジタル
2022103177,ブリックスアンドモルタル,エピファネイア
2022101742,シニスターミニスター,サクラバクシンオー
2022106733,サトノアラジン,ゴールドシップ
2023106925,リオンディーズ,ディープインパクト
2023106887,キタサンブラック,キングカメハメハ
2023103680,モーリス,アグネスタキオン
2023104418,コントレイル,Cozzene
2023104945,サトノダイヤモンド,Posse
2023101459,スワーヴリチャード,タニノギムレット
2023101374,ダノンスマッシュ,Tiznow
2023105001,アメリカンペイトリオット,ブラックタイド
2022106229,モーリス,ゼンノロブロイ
2022102978,バゴ,ディープインパクト
2022105426,エピファネイア,ロードカナロア
2022110101,Trapeze Artist,Hallowed Crown
2022103518,ブリックスアンドモルタル,スウェプトオーヴァーボード
2022103911,ドレフォン,キンシャサノキセキ
2022104621,ロードカナロア,ディープインパクト
2022105819,ジャスタウェイ,ワークフォース
2022103679,ノーブルミッション,マンハッタンカフェ
2022101297,モーリス,Unbridled's Song
2022100242,シルバーステート,Shamardal
2022105644,ハイランドリール,Frankel
2022102502,サートゥルナーリア,ロックオブジブラルタル
2022104932,エピファネイア,ロードカナロア
2022105262,ドレフォン,ノヴェリスト
2022104419,ドレフォン,ブラックタイド
2022104310,リアルスティール,シンボリクリスエス
2020104750,エピファネイア,アルデバラン
2021100387,パイロ,ゴールドアリュール
2021102276,レッドファルクス,Cairo Prince
2021106091,オルフェーヴル,アジュディケーティング
2020103625,モーリス,フレンチデピュティ
2022100497,オーヴァルエース,ワイルドラッシュ
2022100216,スワーヴリチャード,バンブーエール
2018104598,ロードカナロア,アグネスタキオン
2022105201,トーセンラー,Saint Liam
2022106322,ゴールドアクター,ヘニーヒューズ
2022105060,モーリス,ディープインパクト
2022100781,キズナ,ロードカナロア
2021101488,スワーヴリチャード,ネオユニヴァース
2021100443,タリスマニック,エイシンワシントン
2022103705,ルーラーシップ,スペシャルウィーク
2020102785,ハービンジャー,キングカメハメハ
2020102982,ダイワメジャー,Successful Appeal
2020103441,ミッキーロケット,ファルブラヴ
2021105532,ブリックスアンドモルタル,アグネスタキオン
2022102550,オルフェーヴル,タニノギムレット
2021103155,アジアエクスプレス,ハーツクライ
2021103242,Gun Runner,More Than Ready
2019103442,エイシンヒカリ,Tale of Ekati
2019106704,ディーマジェスティ,スウェプトオーヴァーボード
2021102399,マクフィ,エスポワールシチー
2022105600,イスラボニータ,Harlan's Holiday
2021107281,ヘニーヒューズ,ディープインパクト
2018110134,Dialed In,Untuttable
2020103074,モーリス,ダイワメジャー
2022100648,ロードカナロア,Distorted Humor
2021105689,スワーヴリチャード,Machiavellian
2019106179,ジョーカプチーノ,クロフネ
2021110039,Invincible Spirit,Dubawi
2021105833,モーリス,ダイワメジャー
2019104818,ミッキーアイル,ジャングルポケット
2021101399,ダイワメジャー,Holy Roman Emperor
2020104780,キタサンブラック,ボストンハーバー
2021103561,キズナ,アドマイヤムーン
2020106987,ディスクリートキャット,サウスヴィグラス
2018103485,トーセンラー,フレンチデピュティ
2020104160,サトノアラジン,Frankel
2020103898,スノードラゴン,ダンスインザダーク
2021105068,ドレフォン,ショウナンカンプ
2020100148,ロードカナロア,ディープインパクト
2020101607,キタサンブラック,キングカメハメハ
2020105795,ゴールドシップ,スペシャルウィーク
2019103588,オルフェーヴル,キングカメハメハ
2021106752,サトノクラウン,ディープインパクト
2020103099,イスラボニータ,Galileo
2020102660,ドゥラメンテ,My Golden Song
2020105655,キズナ,Cozzene
2021105799,キタサンブラック,Blame
2022105346,キズナ,Burning Roma
2021100210,リアルスティール,Malibu Moon
